-------- C++ --------,3,36638,12
Title,Size,Average-3Sigma,Average,Average+3Sigma,3Sigma,,Results
"set to large array[test2() of site1].",0, 1625,1638,1652,14,,1645,1636,1634
"set to large array.",0, 1597,1624,1651,27,,1625,1634,1612
"initialize volatile memory.",0, 389,408,427,19,,417,405,403
"initialize non-volatile memory.",0, 0,0,0,0,,0,0,0
"calculation(i^j).",0, 548,607,666,59,,635,590,597
"calculation(i%10).(1/10)",0, 1251,1270,1289,19,,1262,1278,1270
"inline expansion.",0, 394,406,418,12,,405,411,402
"modify string.(1/50)",0, 7565,7615,7665,50,,7638,7598,7609
"get 10bytes memory & setup.",10, 538,564,591,27,,559,557,577
"get 100bytes memory & setup.",100, 892,937,982,45,,957,920,934
"get 1000bytes memory & setup.(1/10)",1000, 3287,3351,3416,65,,3378,3326,3349
"get 10000bytes memory & setup.(1/100)",10000, 26434,30785,35136,4351,,29974,29559,32822
"get 100000bytes memory & setup.(1/1000)",100000, 243527,331006,418486,87479,,327246,297322,368451
"get 1000000bytes memory & setup.(1/10000)",1000000, 2483432,3351450,4219468,868018,,3753650,3085140,3215560
"get 10000000bytes memory & setup.(1/100000)",10000000, 40925054,56133400,71341746,15208346,,62655400,50294300,55450500
"construct on stack & read member.",0, 378,421,463,42,,431,401,431
"construct on heap & read member.(1/100)",0, 49545,56349,63153,6804,,59455,55487,54105
"normal(int).",0, 671,703,735,32,,696,718,695
"template(int).",0, 585,662,739,77,,649,698,638
"template(double).",0, 784,949,1113,164,,995,980,872
"template(string).(1/100)",0, 44523,54097,63672,9575,,55403,57186,49703


